####gene WT_1 WT_2 WT_3 CTCF_4 CTCF_5 CTCF_6 Med12_7 Med12_8 Smc1_9 Smc1_10
uc007asg.1 0 4 0 1 0 0 0 0 3 0
uc007ash.2 68 141 26 58 32 98 28 205 142 272
uc007asi.1 191 422 75 165 35 317 51 1018 387 1064
uc007asj.1 689 1399 209 421 201 976 204 1605 890 1613
uc007ask.1 0 0 0 0 0 0 1 0 0 0
uc007asl.1 0 0 0 0 0 0 0 0 0 0
uc007asm.1 0 0 0 0 0 1 0 0 0 2
uc007asn.1 0 0 0 1 0 0 1 0 0 0
uc007aso.1 1033 2397 589 807 172 1328 196 6340 2004 4867
uc007asp.1 0 0 0 0 0 0 0 0 0 0
uc007asq.1 15 30 3 12 0 32 0 57 48 87
uc007asr.1 102 271 50 88 38 171 60 569 288 702
uc007ass.2 53 134 27 158 86 351 28 199 617 1034
uc007ast.1 0 0 0 0 0 0 0 0 0 1
uc007asu.1 0 0 0 0 0 0 0 0 0 1
uc007asw.1 0 0 0 0 0 0 0 0 0 0
uc007asx.1 22 53 9 19 8 53 1 25 67 104
uc007asy.1 0 0 0 0 0 0 0 0 0 0
uc007asz.1 0 4 1 3 1 7 0 0 3 6
uc007ata.1 0 2 0 3 1 2 0 3 1 6
uc007atb.1 0 1 0 0 1 0 0 0 0 2
uc007atc.1 542 1131 182 362 219 791 163 1969 1129 2333
uc007atd.2 1 8 0 6 3 7 4 8 36 39
uc007ate.2 17 17 1 1 4 9 5 13 10 31
uc007atf.2 178 273 41 63 4 156 6 293 197 549
uc007atg.2 36 90 22 36 24 90 17 128 119 281
uc007ath.2 1 8 0 1 0 3 0 2 7 8
uc007ati.1 185 320 41 79 67 197 143 118 213 201
uc007atj.1 0 0 0 0 0 0 0 0 0 0
uc007atk.1 9 16 6 4 3 13 5 20 18 35
uc007atl.2 389 770 121 263 162 584 147 1225 759 1734
uc007atm.1 3 3 1 2 3 7 2 7 16 29
uc007atn.2 1 3 0 4 3 7 1 3 3 10
uc007ato.2 0 0 0 0 0 0 0 0 0 0
